character,reading,meaning,level,level_label,radical,stroke_count
璆,구,옥경쇠,0,특급,玉,11
雊,구,장끼울,0,특급,隹,5
笱,구,통발,0,특급,竹,5
嫗,구,할미,0,특급,女,11
彀,구,활당길,0,특급,弓,10
捄,구,흙파올릴,0,특급,手,7
匊,국,움큼,0,특급,勹,6
詘,굴,말막힐,0,특급,言,5
棬,권,나무그릇,0,특급,木,8
睠,권,돌아볼,0,특급,目,8
鬈,권,머리고울,0,특급,髟,8
綣,권,정다울,0,특급,糸,8
匱,궤,갑(匣)/다할,0,특급,匚,12
氿,궤,구멍샘,0,특급,水,2
跪,궤,꿇어앉을,0,특급,足,6
餽,궤,먹일,0,특급,食,10
垝,궤,무너질,0,특급,土,6
簣,궤,삼태기,0,특급,竹,12
匭,궤,상자,0,특급,匚,9
簋,궤,제기(祭器)이름,0,특급,竹,11
宄,귀,간악할,0,특급,宀,2
頄,규,광대뼈,0,특급,頁,2
騤,규,말건장할,0,특급,馬,9
頍,규,머리들,0,특급,頁,4
糺,규,살필,0,특급,糸,1
睽,규,어그러질/반목할,0,특급,目,9
闚,규,엿볼,0,특급,門,11
刲,규,찌를/벨,0,특급,刀,6
戣,규,창,0,특급,戈,9
樛,규,휠,0,특급,木,11
麕,균,노루,0,특급,鹿,8
箘,균,죽순,0,특급,竹,8
殛,극,귀양보낼,0,특급,歹,9
亟,극,빠를,0,특급,二,7
襋,극,옷깃,0,특급,衣,12
郤,극,틈,0,특급,邑,7
漌,근,맑을,0,특급,水,11
墐,근,묻을,0,특급,土,11
岌,급,산높을,0,특급,山,4
亙,긍,뻗칠,0,특급,二,4
覊,기,굴레/나그네,0,특급,襾,19
羇,기,굴레/나그네,0,특급,网,17
掎,기,당길,0,특급,手,8
歧,기,두갈래길,0,특급,止,4
綦,기,들메끈,0,특급,糸,8
曁,기,미칠,0,특급,日,12
屺,기,민둥산,0,특급,山,3
棊,기,바둑,0,특급,木,8
暣,기,볕,0,특급,日,10
僛,기,비틀거려춤출,0,특급,人,12
忮,기,사나울,0,특급,心,4
軝,기,수레굴통대,0,특급,車,4
旂,기,용대기,0,특급,方,6
跂,기,육발이/발돋움할,0,특급,足,4
蘷,기,조심할,0,특급,艸,16
頎,기,헌걸찰,0,특급,頁,4
墍,기,흙바를,0,특급,土,11
芑,기,흰차조,0,특급,艸,3
姞,길,삼갈,0,특급,女,6
戁,난,두려워할,0,특급,心,19
赧,난,부끄러울,0,특급,赤,5
陧,날,위태할,0,특급,阜,7
軜,납,고삐,0,특급,車,4
曩,낭,지난번,0,특급,日,17
迺,내,이에,0,특급,辵,6
鼐,내,큰솥,0,특급,鼎,2
佞,녕,재주있을/아첨할,0,특급,人,5
甯,녕,차라리,0,특급,用,7
砮,노,돌살촉,0,특급,石,5
峱,노,산이름,0,특급,山,7
怓,노,어지러울,0,특급,心,5
猱,노,원숭이,0,특급,犬,9
孥,노,자식,0,특급,子,5
呶,노,지껄일,0,특급,口,5
穠,농,무성할,0,특급,禾,13
餒,뇌,주릴,0,특급,食,7
耨,누,호미,0,특급,耒,10
狃,뉴,익숙할,0,특급,犬,4
忸,뉴,익을,0,특급,心,4
鈕,뉴,인꼭지,0,특급,金,4
柅,니,굄목,0,특급,木,5
你,니,너,0,특급,人,5
怩,니,부끄러워할,0,특급,心,5
昵,닐,친할,0,특급,日,5
爹,다,아비,0,특급,父,6
慱,단,근심할,0,특급,心,11
煅,단,쇠불릴,0,특급,火,9
癉,단,앓을,0,특급,疒,12
襢,단,웃통벗을,0,특급,衣,13
漙,단,이슬많을,0,특급,水,11
闥,달,궐문,0,특급,門,13
怛,달,슬플,0,특급,心,5
黮,담,검을,0,특급,黑,9
窞,담,구덩이,0,특급,穴,8
耼,담,귓바퀴없을,0,특급,耳,4
菼,담,달,0,특급,艸,8
髧,담,머리늘어질,0,특급,髟,4
餤,담,먹을,0,특급,食,8
惔,담,속탈,0,특급,心,8
萏,담,연봉오리,0,특급,艸,8
驔,담,정강이흰말,0,특급,馬,12
儻,당,고상할/구차할,0,특급,人,20
倘,당,만일,0,특급,人,8
鐺,당,목쇠사슬,0,특급,金,13
螗,당,씽씽매미,0,특급,虫,10
鏜,당,종고소리,0,특급,金,11
譈,대,원망할,0,특급,言,12
懟,대,원망할,0,특급,心,14
憝,대,원망할/악할,0,특급,心,12
祋,대,창,0,특급,示,4
忉,도,근심할,0,특급,心,2
慆,도,기뻐할,0,특급,心,10
翿,도,깃일산,0,특급,羽,14
綯,도,노꼴,0,특급,糸,8
檮,도,등걸,0,특급,木,14
闍,도,성문,0,특급,門,9
鞉,도,소고,0,특급,革,6
荼,도,씀바귀,0,특급,艸,7
瘏,도,앓을,0,특급,疒,9
咷,도,울,0,특급,口,6
謟,도,의심할,0,특급,言,10
鼗,도,작은북,0,특급,鼓,6
擣,도,찧을,0,특급,手,14
稌,도,찰벼,0,특급,禾,7
叨,도,탐할,0,특급,口,2
櫝,독,궤,0,특급,木,15
黷,독,더러울,0,특급,黑,15
匵,독,손궤,0,특급,匚,15
烔,동,뜨거울,0,특급,火,6
蝀,동,무지개,0,특급,虫,8
彤,동,붉은칠할,0,특급,彡,4
罿,동,새그물,0,특급,网,12
僮,동,아이종,0,특급,人,12
侗,동,지각없을,0,특급,人,6
斁,두,무너질,0,특급,攴,13
縢,등,노/꿰맬,0,특급,糸,10
螣,등,등사,0,특급,虫,10
滕,등,물솟아오를,0,특급,水,10
蠃,라,나나니벌,0,특급,虫,13
臝,라,벌거벗을,0,특급,肉,17
雒,락,올빼미/표가라,0,특급,隹,6
